"component","origin","license","copyright"
"estraverse","estraverse","['BSD-2-Clause']","['Ariya Hidayat <ariya.hidayat@gmail.com>', 'Yusuke Suzuki (http://github.com/Constellation) (twitter Constellation (http://twitter.com/Constellation)) and other contributors', 'Yusuke Suzuki <utatane.tea@gmail.com>']"
"esutils","esutils","['BSD-2-Clause']","['Ivan Nikulin <ifaaan@gmail.com>', 'Yusuke Suzuki (http://github.com/Constellation) (twitter Constellation (http://twitter.com/Constellation)) and other contributors', 'Yusuke Suzuki <utatane.tea@gmail.com>']"
"etag","etag","['MIT']","['Douglas Christopher Wilson']"
"execa","execa","['MIT']","['Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)']"
"exit","exit","['MIT']","['Cowboy Ben Alman']"
"expect","expect","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"express","express","['MIT']","['Douglas Christopher Wilson', 'Douglas Christopher Wilson <doug@somethingdoug.com>', 'Roman Shtylman', 'Roman Shtylman <shtylman+expressjs@gmail.com>', 'TJ Holowaychuk', 'TJ Holowaychuk <tj@vision-media.ca>']"
"express-rate-limit","express-rate-limit","['MIT']","['Nathan Friedly', 'Nathan Friedly (http://nfriedly.com/)', 'Vedant K', 'Vedant K (https://github.com/gamemaker1)']"
"express-session","express-session","['MIT']","['Douglas Christopher Wilson', 'Douglas Christopher Wilson <doug@somethingdoug.com>', 'Sencha Inc.', 'TJ Holowaychuk', 'TJ Holowaychuk <tj@vision-media.ca>']"
"fast-deep-equal","fast-deep-equal","['MIT']","['Evgeny Poberezkin']"
"fast-fifo","fast-fifo","['MIT']","['Mathias Buus']"
"fast-json-stable-stringify","fast-json-stable-stringify","['MIT']","['Evgeny Poberezkin', 'James Halliday']"
"fast-levenshtein","fast-levenshtein","['MIT']","['Ramesh Nair (http://www.hiddentao.com/)']"
"fast-uri","fast-uri","['BSD-3-Clause']","['Gary Court', 'Gary Court until https://github.com/garycourt/uri-js/commit/a1acf730b4bba3f1097c9f52e7d9d3aba8cdcaae', 'The Fastify Team']"
"fb-watchman","fb-watchman","['Apache-2.0']","['Inc. and affiliates', 'Meta Platforms']"
"fdir","fdir","['MIT']","['Abdullah Atta']"
"file-entry-cache","file-entry-cache","['MIT']","['Roy Riojas & Jared Wray']"
"filelist","filelist","['Apache-2.0']","[]"
"fill-range","fill-range","['MIT']","['Jon Schlinkert', 'Jon Schlinkert (https://github.com/jonschlinkert)']"
"finalhandler","finalhandler","['MIT']","['Douglas Christopher Wilson', 'Douglas Christopher Wilson <doug@somethingdoug.com>']"
"find-root","find-root","['MIT']","['jsdnxx']"
"find-up","find-up","['MIT']","['Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"flat-cache","flat-cache","['MIT']","['Roy Riojas and Jared Wray']"
"flatted","flatted","['ISC']","['Andrea Giammarchi']"
"forwarded","forwarded","['MIT']","['Douglas Christopher Wilson']"
"fresh","fresh","['MIT']","['Douglas Christopher Wilson', 'Douglas Christopher Wilson <doug@somethingdoug.com>', 'TJ Holowaychuk', 'TJ Holowaychuk <tj@vision-media.ca>']"
"fs-extra","fs-extra","['MIT']","['JP Richardson', 'JP Richardson (https://github.com/jprichardson)', 'Jonathan Ong me@jongleberry.com and Contributors', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"fs.realpath","fs.realpath","['ISC']","['Inc. and other Node contributors', 'Inc. and other Node contributors.', 'Isaac Z. Schlueter and Contributors', 'Joyent']"
"fsevents","fsevents","['MIT']","['Ben Noordhuis', 'Elan Shankar', 'Paul Miller', 'by Philipp Dunkel']"
"function-bind","function-bind","['MIT']","['Raynos']"
"gensync","gensync","['MIT']","['Logan Smyth <loganfsmyth@gmail.com>']"
"get-caller-file","get-caller-file","['ISC']","['Stefan Penner']"
"get-intrinsic","get-intrinsic","['MIT']","['Jordan Harband']"
"get-package-type","get-package-type","['MIT']","['CFWare', 'LLC']"
"get-proto","get-proto","['MIT']","['Jordan Harband']"
"get-stream","get-stream","['MIT']","['Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)']"
"github.com/Azure/go-ansiterm","https://github.com/Azure/go-ansiterm","['MIT']","['Microsoft Corporation']"
"github.com/DataDog/appsec-internal-go","https://github.com/DataDog/appsec-internal-go","['Apache-2.0']","['Datadog', 'Inc.']"
"github.com/DataDog/datadog-agent/comp/core/tagger/origindetection","https://github.com/DataDog/datadog-agent/tree/main/comp/core/tagger/origindetection","['Apache-2.0']","['Datadog', 'Inc.']"
"github.com/DataDog/datadog-agent/pkg/obfuscate","https://github.com/DataDog/datadog-agent/tree/main/pkg/obfuscate","['Apache-2.0']","['Datadog', 'Inc.', 'The Go Authors']"
"github.com/DataDog/datadog-agent/pkg/proto","https://github.com/DataDog/datadog-agent/tree/main/pkg/proto","['Apache-2.0']","['Datadog', 'Google Inc.', 'Google LLC.', 'Inc.', 'Michal Witkowski']"
"github.com/DataDog/datadog-agent/pkg/remoteconfig/state","https://github.com/DataDog/datadog-agent/tree/main/pkg/remoteconfig/state","['Apache-2.0']","['Datadog', 'Inc.']"
"github.com/DataDog/datadog-agent/pkg/trace","https://github.com/DataDog/datadog-agent/tree/main/pkg/trace","['Apache-2.0']","['Datadog', 'Inc.']"
"github.com/DataDog/datadog-agent/pkg/util/log","https://github.com/DataDog/datadog-agent/tree/main/pkg/util/log","['Apache-2.0']","['Datadog', 'Inc.']"
"github.com/DataDog/datadog-agent/pkg/util/scrubber","https://github.com/DataDog/datadog-agent/tree/main/pkg/util/scrubber","['Apache-2.0']","['Datadog', 'Inc.']"
"github.com/DataDog/datadog-agent/pkg/version","https://github.com/DataDog/datadog-agent/tree/main/pkg/version","['Apache-2.0']","['Datadog', 'Inc.']"
"github.com/DataDog/datadog-go/v5","https://github.com/DataDog/datadog-go/tree/master/v5","['MIT']","['Datadog, Inc']"
"github.com/DataDog/dd-trace-go/contrib/IBM/sarama/v2","https://github.com/DataDog/dd-trace-go/tree/main/contrib/IBM/sarama/v2","['(Apache-2.0', '(Apache-2.0 OR BSD-3-Clause))', 'BSD-3-Clause']","['Datadog', 'Datadog, Inc.']"
"github.com/DataDog/dd-trace-go/contrib/gin-gonic/gin/v2","https://github.com/DataDog/dd-trace-go/tree/main/contrib/gin-gonic/gin/v2","['Apache-2.0 AND (Apache-2.0 OR BSD-3-Clause) AND BSD-3-Clause']","['Datadog', 'Datadog <info@datadoghq.com>', 'Inc.']"
"github.com/DataDog/dd-trace-go/contrib/gorm.io/gorm.v1/v2","https://github.com/DataDog/dd-trace-go/tree/main/contrib/gorm.io/gorm.v1/v2","['Apache-2.0 AND (Apache-2.0 OR BSD-3-Clause) AND BSD-3-Clause']","['Datadog', 'Datadog <info@datadoghq.com>', 'Inc.']"
"github.com/DataDog/dd-trace-go/contrib/net/http/v2","https://github.com/DataDog/dd-trace-go/tree/main/contrib/net/http/v2","['Apache-2.0 AND (Apache-2.0 OR BSD-3-Clause) AND BSD-3-Clause']","['Datadog', 'Datadog <info@datadoghq.com>', 'Inc.']"
"github.com/DataDog/dd-trace-go/contrib/sirupsen/logrus/v2","https://github.com/DataDog/dd-trace-go/tree/main/contrib/sirupsen/logrus/v2","['Apache-2.0 AND (Apache-2.0 OR BSD-3-Clause) AND BSD-3-Clause']","['Datadog', 'Datadog <info@datadoghq.com>', 'Inc.']"
"github.com/DataDog/dd-trace-go/v2","https://github.com/DataDog/dd-trace-go/tree/main/v2","['Apache-2.0 AND BSD-3-Clause']","['Datadog', 'Datadog <info@datadoghq.com>', 'Inc.', 'The Go Authors']"
"github.com/DataDog/go-libddwaf/v4","https://github.com/DataDog/go-libddwaf/tree/main/v4","['Apache-2.0']","['Datadog', 'Inc.']"
"github.com/DataDog/go-runtime-metrics-internal","https://github.com/DataDog/go-runtime-metrics-internal","['Apache-2.0']","['Datadog, Inc.']"
"github.com/DataDog/go-sqllexer","https://github.com/DataDog/go-sqllexer","['MIT']","['Datadog', 'Inc.']"
"github.com/DataDog/go-tuf","https://github.com/DataDog/go-tuf","['BSD-3-Clause']","['Inc.', 'Justin Samuel and Justin Cappos', 'New York University and the TUF contributors', 'Prime Directive', 'The Tor Project']"
"github.com/DataDog/gostackparse","https://github.com/DataDog/gostackparse","['Apache-2.0 AND BSD-3-Clause']","['Datadog', 'Datadog <info@datadoghq.com>', 'Inc.']"
"github.com/DataDog/opentelemetry-mapping-go/pkg/otlp/attributes","https://github.com/DataDog/opentelemetry-mapping-go/tree/main/pkg/otlp/attributes","['Apache-2.0']","['Datadog', 'Inc.', 'OpenTelemetry Authors']"
"github.com/DataDog/sketches-go","https://github.com/DataDog/sketches-go","['Apache-2.0']","['Datadog', 'Inc.']"
"github.com/IBM/sarama","https://github.com/IBM/sarama","['MIT']","['IBM Corporation', 'Shopify']"
"github.com/Masterminds/semver/v3","https://github.com/Masterminds/semver/tree/master/v3","['MIT']","['Matt Butcher and Matt Farina']"
"github.com/Microsoft/go-winio","https://github.com/Microsoft/go-winio","['MIT']","['Microsoft', 'The Go Authors']"
"github.com/bytedance/sonic","https://github.com/bytedance/sonic","['Apache-2.0']","['Alexander Bolz', 'ByteDance', 'ByteDance Inc.', 'CloudWeGo', 'Daniel Lemire', 'The Go Authors', 'The simdjson', 'YaoYuan <ibireme@gmail.com>', 'Yaoyuan <ibireme@gmail.com>']"
"github.com/bytedance/sonic/loader","https://github.com/bytedance/sonic/loader","['Apache-2.0']","['ByteDance Inc.']"
"github.com/cenkalti/backoff/v4","https://github.com/cenkalti/backoff/v4","['MIT']","['Cenk Alti']"
"github.com/cespare/xxhash/v2","https://github.com/cespare/xxhash/tree/main/v2","['MIT']","['Caleb Spare']"
"github.com/cihub/seelog","https://github.com/cihub/seelog","['BSD-2-Clause AND BSD-3-Clause']","['- Cloud Instruments Co.', 'Cloud Instruments Co.', 'Ltd.', 'Ltd. <info@cin.io>']"
"github.com/cloudwego/base64x","https://github.com/cloudwego/base64x","['Apache-2.0']","['CloudWeGo']"
"github.com/cloudwego/iasm","https://github.com/cloudwego/iasm","['Apache-2.0']","['CloudWeGo']"
"github.com/containerd/errdefs","https://github.com/containerd/errdefs","['Apache-2.0']","['containerd']"
"github.com/containerd/errdefs/pkg","https://github.com/containerd/errdefs/pkg","['Apache-2.0']","[]"
"github.com/containerd/log","https://github.com/containerd/log","['Apache-2.0']","['containerd']"
"github.com/containerd/platforms","https://github.com/containerd/platforms","['Apache-2.0']","['containerd']"
"github.com/cpuguy83/dockercfg","https://github.com/cpuguy83/dockercfg","['MIT']","['Brian Goff']"
"github.com/datadog/stickerlandia/sticker-award","https://github.com/datadog/stickerlandia/tree/main/sticker-award","['Apache-2.0']","['Datadog, Inc.']"
"github.com/davecgh/go-spew","https://github.com/davecgh/go-spew","['ISC']","['Dave Collins <dave@davec.name>']"
"github.com/distribution/reference","https://github.com/distribution/reference","['Apache-2.0']","['The Linux Foundation and its contributors']"
"github.com/docker/docker","https://github.com/docker/docker","['Apache-2.0']","[""-'+$currentYear+ Docker Inc"", 'Docker', 'Gentoo Foundation Distributed', 'Inc.', 'John Howard', 'Mat Ryer and Tyler Bunnell', 'The Go Authors', 'The Kubernetes Authors', 'The Linux Foundation and its contributors', 'inc.']"
"github.com/docker/go-connections","https://github.com/docker/go-connections","['Apache-2.0']","['Docker', 'Inc.', 'The Linux Foundation and its contributors']"
"github.com/docker/go-units","https://github.com/docker/go-units","['Apache-2.0']","['Docker', 'Inc.', 'The Linux Foundation and its contributors']"
"github.com/dustin/go-humanize","https://github.com/dustin/go-humanize","['MIT']","['Dustin Sallings <dustin@spy.net>']"
"github.com/eapache/go-resiliency","https://github.com/eapache/go-resiliency","['MIT']","['Evan Huus']"
"github.com/eapache/go-xerial-snappy","https://github.com/eapache/go-xerial-snappy","['MIT']","['Evan Huus']"
"github.com/eapache/queue","https://github.com/eapache/queue","['MIT']","['Evan Huus']"
"github.com/eapache/queue/v2","https://github.com/eapache/queue/tree/main/v2","['MIT']","['Evan Huus']"
"github.com/ebitengine/purego","https://github.com/ebitengine/purego","['Apache-2.0 AND BSD-3-Clause']","['The Ebitengine Authors', 'The Go Authors']"
"github.com/felixge/httpsnoop","https://github.com/felixge/httpsnoop","['MIT']","['Felix Geisendorfer (felix@debuggable.com)']"
"github.com/fsnotify/fsnotify","https://github.com/fsnotify/fsnotify","['BSD-3-Clause']","['The Go Authors', 'fsnotify Authors']"
"github.com/gabriel-vasile/mimetype","https://github.com/gabriel-vasile/mimetype","['MIT']","['Gabriel Vasile']"
"github.com/gin-contrib/sse","https://github.com/gin-contrib/sse","['MIT']","['Manu Martinez-Almeida', 'Manuel Martinez-Almeida']"
"github.com/gin-gonic/gin","https://github.com/gin-gonic/gin","['MIT']","['Bo-Yi Wu', 'Gin Core Team', 'Julien Schmidt', 'Manu Martinez-Almeida', 'Manuel Martinez-Almeida', 'The Go Authors']"
"github.com/go-logr/logr","https://github.com/go-logr/logr","['Apache-2.0']","['The Kubernetes Authors', 'The logr']"
"github.com/go-logr/stdr","https://github.com/go-logr/stdr","['Apache-2.0']","['The Kubernetes Authors', 'The logr']"
"github.com/go-ole/go-ole","https://github.com/go-ole/go-ole","['MIT']","['<mattn.jp@gmail.com>', 'Sebastian Schleemilch <https://github.com/itschleemilch>', 'Yasuhiro Matsumoto']"
"github.com/go-playground/locales","https://github.com/go-playground/locales","['MIT']","['Go Playground']"
"github.com/go-playground/universal-translator","https://github.com/go-playground/universal-translator","['MIT']","['Go Playground']"
"github.com/go-playground/validator/v10","https://github.com/go-playground/validator/tree/master/v10","['MIT']","['Dean Karn']"
"github.com/go-viper/mapstructure/v2","https://github.com/go-viper/mapstructure/tree/main/v2","['MIT']","['Mitchell Hashimoto', 'The Go Authors']"
"github.com/goccy/go-json","https://github.com/goccy/go-json","['MIT']","['Masaaki Goshima', 'The Go Authors']"
"github.com/gogo/protobuf","https://github.com/gogo/protobuf","['BSD-3-Clause']","['Google Inc.', 'The Go Authors', 'The Go Authors. https://github.com/golang/protobuf', 'The GoGo Authors']"
"github.com/golang-migrate/migrate/v4","https://github.com/golang-migrate/migrate/tree/master/v4","['MIT']","['Dale Hui https://github.com/golang-migrate/migrate', 'Matthias Kadenbach https://github.com/mattes/migrate']"
"github.com/golang/protobuf","https://github.com/golang/protobuf","['BSD-3-Clause']","['The Go Authors']"
"github.com/golang/snappy","https://github.com/golang/snappy","['BSD-3-Clause']","['The Go Authors', 'The Snappy-Go Authors']"
"github.com/google/pprof","https://github.com/google/pprof","['Apache-2.0']","['Andrea Leofreddi <a.leofreddi@vleo.net>', 'Free Software Foundation', 'Google Inc.', 'Inc']"
"github.com/google/uuid","https://github.com/google/uuid","['BSD-3-Clause']","['Google Inc.']"
"github.com/grpc-ecosystem/grpc-gateway/v2","https://github.com/grpc-ecosystem/grpc-gateway/v2","['BSD-3-Clause']","['Gengo', 'Inc.', 'The Go Authors']"
"github.com/hashicorp/errwrap","https://github.com/hashicorp/errwrap","['MPL-2.0']","['HashiCorp, Inc.']"
"github.com/hashicorp/go-multierror","https://github.com/hashicorp/go-multierror","['MPL-2.0']","['HashiCorp, Inc.']"
"github.com/hashicorp/go-uuid","https://github.com/hashicorp/go-uuid","['MPL-2.0']","['HashiCorp', 'Inc.']"
"github.com/hashicorp/go-version","https://github.com/hashicorp/go-version","['MPL-2.0']","['HashiCorp', 'Inc.']"
"github.com/hashicorp/hcl","https://github.com/hashicorp/hcl","['MPL-2.0']","['HashiCorp, Inc.']"
"github.com/jackc/pgpassfile","https://github.com/jackc/pgpassfile","['MIT']","['Jack Christensen']"
"github.com/jackc/pgservicefile","https://github.com/jackc/pgservicefile","['MIT']","['Jack Christensen']"
"github.com/jackc/pgx/v5","https://github.com/jackc/pgx/tree/master/v5","['MIT']","['Jack Christensen']"
"github.com/jackc/puddle/v2","https://github.com/jackc/puddle/tree/master/v2","['MIT']","['Jack Christensen']"
"github.com/jcmturner/aescts/v2","https://github.com/jcmturner/aescts/tree/master/v2","['Apache-2.0']","['jcmturner']"
"github.com/jcmturner/dnsutils/v2","https://github.com/jcmturner/dnsutils/tree/master/v2","['Apache-2.0']","['jcmturner']"
"github.com/jcmturner/gofork","https://github.com/jcmturner/gofork","['BSD-3-Clause']","['The Go Authors']"
"github.com/jcmturner/gokrb5/v8","https://github.com/jcmturner/gokrb5/tree/master/v8","['Apache-2.0']","['Jonathan Turner']"
"github.com/jcmturner/rpc/v2","https://github.com/jcmturner/rpc/tree/master/v2","['Apache-2.0']","['jcmturner']"
"github.com/jinzhu/inflection","https://github.com/jinzhu/inflection","['MIT']","['- Jinzhu']"
"github.com/jinzhu/now","https://github.com/jinzhu/now","['MIT']","['-NOW Jinzhu <wosmvp@gmail.com>']"
"github.com/json-iterator/go","https://github.com/json-iterator/go","['MIT']","['json-iterator']"
"github.com/klauspost/compress","https://github.com/klauspost/compress","['Apache-2.0 AND BSD-3-Clause AND MIT']","[""'. Search"", '+ Klaus Post', 'Caleb Spare', 'Credit', 'Credit Agricole', 'Evan Huus', 'Google LLC', 'Klaus Post', 'Pierre Curto', 'The Go Authors', 'The New York Times Company', 'The Snappy-Go Authors', 'The filepathx Authors', 'Yann Collet', 'b d.Bytes will provide a dictionary', 'b dict.Bytes will provide a dictionary', 'd']"
"github.com/klauspost/cpuid/v2","https://github.com/klauspost/cpuid/v2","['MIT']","['- Klaus Post & Contributors', 'Klaus Post', 'The Go Authors']"
"github.com/leodido/go-urn","https://github.com/leodido/go-urn","['MIT']","['Leonardo Di Donato']"
"github.com/lib/pq","https://github.com/lib/pq","['MIT']","['- Gustavo Niemeyer <gustavo@niemeyer.net>', 'Portions Blake Mizerany', 'pq Contributors']"
"github.com/lufia/plan9stats","https://github.com/lufia/plan9stats","['BSD-3-Clause']","['KADOTA', 'Kyohei']"
"github.com/magiconair/properties","https://github.com/magiconair/properties","['Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause']","['Frank Schroeder', 'The Go Authors']"
"github.com/mattn/go-isatty","https://github.com/mattn/go-isatty","['MIT']","['Yasuhiro MATSUMOTO <mattn.jp@gmail.com>']"
"github.com/mitchellh/mapstructure","https://github.com/mitchellh/mapstructure","['MIT']","['Mitchell Hashimoto']"
"github.com/moby/docker-image-spec","https://github.com/moby/docker-image-spec","['Apache-2.0']","['moby']"
"github.com/moby/go-archive","https://github.com/moby/go-archive","['Apache-2.0']","['moby']"
"github.com/moby/patternmatcher","https://github.com/moby/patternmatcher","['Apache-2.0']","['Docker', 'Inc.']"
"github.com/moby/sys/sequential","https://github.com/moby/sys/sequential","['Apache-2.0']","[]"
"github.com/moby/sys/user","https://github.com/moby/sys/user","['Apache-2.0']","[]"
"github.com/moby/sys/userns","https://github.com/moby/sys/userns","['Apache-2.0']","[]"
"github.com/moby/term","https://github.com/moby/term","['Apache-2.0']","['Docker', 'Inc.', 'inc.']"
"github.com/modern-go/concurrent","https://github.com/modern-go/concurrent","['Apache-2.0']","['modern-go']"
"github.com/modern-go/reflect2","https://github.com/modern-go/reflect2","['Apache-2.0']","['modern-go']"
"github.com/morikuni/aec","https://github.com/morikuni/aec","['MIT']","['Taihei Morikuni']"
"github.com/opencontainers/go-digest","https://github.com/opencontainers/go-digest","['Apache-2.0 AND CC-BY-SA-4.0']","['Docker', 'Inc.', 'OCI Contributors', 'The Linux Foundation and its contributors']"
"github.com/opencontainers/image-spec","https://github.com/opencontainers/image-spec","['Apache-2.0 AND LicenseRef-scancode-dco-1.1 AND MIT']","['The Linux Foundation', 'The Linux Foundation and its contributors']"
"github.com/outcaste-io/ristretto","https://github.com/outcaste-io/ristretto","['Apache-2.0']","['Andreas Briese', 'Dgraph Labs', 'Ewan Chou', 'Inc. and Contributors', 'The LevelDB-Go and Pebble Authors', 'eduToolbox@Bri-C GmbH']"
"github.com/pelletier/go-toml/v2","https://github.com/pelletier/go-toml/tree/v2/v2","['MIT']","['Thomas Pelletier']"
"github.com/philhofer/fwd","https://github.com/philhofer/fwd","['MIT']","['Philip Hofer']"
"github.com/pierrec/lz4/v4","https://github.com/pierrec/lz4/tree/v4/v4","['BSD-3-Clause']","['E8t A', 'Pierre Curto', 'Rodolfo Giometti <giometti@linux.it>']"
"github.com/pkg/errors","https://github.com/pkg/errors","['BSD-2-Clause']","['Dave Cheney <dave@cheney.net>']"
"github.com/planetscale/vtprotobuf","https://github.com/planetscale/vtprotobuf","['BSD-3-Clause']","['Bob Matcuk', 'Google Inc.', 'PlanetScale Inc.', 'The Go Authors', 'The GoGo Authors', 'gRPC']"
"github.com/pmezard/go-difflib","https://github.com/pmezard/go-difflib","['BSD-3-Clause']","['Patrick Mezard']"
"github.com/power-devops/perfstat","https://github.com/power-devops/perfstat","['MIT']","['Power DevOps', 'Power-Devops.com']"
"github.com/puzpuzpuz/xsync/v3","https://github.com/puzpuzpuz/xsync/tree/main/v3","['Apache-2.0 AND MIT']","['puzpuzpuz']"
"github.com/rcrowley/go-metrics","https://github.com/rcrowley/go-metrics","['BSD-2-Clause-Views']","['Richard Crowley']"
"github.com/richardartoul/molecule","https://github.com/richardartoul/molecule","['MIT']","['Richard Artoul', 'The Go Authors']"
"github.com/sagikazarmark/locafero","https://github.com/sagikazarmark/locafero","['MIT']","['Mark Sagi-Kazar <mark.sagikazar@gmail.com>']"
"github.com/sagikazarmark/slog-shim","https://github.com/sagikazarmark/slog-shim","['BSD-3-Clause']","['The Go Authors']"
"github.com/secure-systems-lab/go-securesystemslib","https://github.com/secure-systems-lab/go-securesystemslib","['MIT']","['NYU Secure Systems Lab']"
"github.com/shirou/gopsutil/v4","https://github.com/shirou/gopsutil/tree/master/v4","['BSD-3-Clause']","['Ed Schouten', 'Ed Schouten <ed@FreeBSD.org>', 'The FreeBSD Project', 'The Go Authors', 'The Go Authors. All rights reserved.', 'The Regents of the University of California', 'WAKAYAMA Shirou']"
"github.com/sirupsen/logrus","https://github.com/sirupsen/logrus","['MIT']","['Miki Tebeka <miki.tebeka@gmail.com>', 'Simon Eskildsen']"
"github.com/sourcegraph/conc","https://github.com/sourcegraph/conc","['MIT']","['Sourcegraph']"
"github.com/spaolacci/murmur3","https://github.com/spaolacci/murmur3","['BSD-3-Clause']","['Sebastien Paolacci']"
"github.com/spf13/afero","https://github.com/spf13/afero","['Apache-2.0']","['Jerry Jacobs <jerry.jacobs@xor-gate.org>', 'Portions Bjorn Erik Pedersen <bjorn.erik.pedersen@gmail.com>', 'Portions The Hugo Authors', 'Steve Francia <spf@spf13.com>', 'The Go Authors', 'Vasily Ovchinnikov <vasily@remerge.io>', 'tsuru authors']"
"github.com/spf13/cast","https://github.com/spf13/cast","['MIT']","['Steve Francia', 'Steve Francia <spf@spf13.com>', 'The Go Authors']"
"github.com/spf13/pflag","https://github.com/spf13/pflag","['BSD-3-Clause']","['Alex Ogier', 'The Go Authors']"
"github.com/spf13/viper","https://github.com/spf13/viper","['MIT']","['Steve Francia', 'Steve Francia <spf@spf13.com>']"
"github.com/stretchr/testify","https://github.com/stretchr/testify","['MIT']","['Mat Ryer', 'Tyler Bunnell and contributors']"
"github.com/subosito/gotenv","https://github.com/subosito/gotenv","['MIT']","['Alif Rachmawadi']"
"github.com/testcontainers/testcontainers-go","https://github.com/testcontainers/testcontainers-go","['BSD-3-Clause AND MIT']","['Gianluca Arbezzano', 'Martin Donath <martin.donath@squidfunk.com>']"
"github.com/testcontainers/testcontainers-go/modules/kafka","https://github.com/testcontainers/testcontainers-go/modules/kafka","['MIT']","['Gianluca Arbezzano']"
"github.com/testcontainers/testcontainers-go/modules/postgres","https://github.com/testcontainers/testcontainers-go/modules/postgres","['MIT']","['Gianluca Arbezzano']"
"github.com/tinylib/msgp","https://github.com/tinylib/msgp","['BSD-3-Clause AND MIT']","['Philip Hofer', 'Portions The Go Authors (license at http://golang.org)', 'The Go Authors']"
"github.com/tklauser/go-sysconf","https://github.com/tklauser/go-sysconf","['BSD-3-Clause']","['Tobias Klauser']"
"github.com/tklauser/numcpus","https://github.com/tklauser/numcpus","['Apache-2.0']","['Tobias Klauser']"
"github.com/twitchyliquid64/golang-asm","https://github.com/twitchyliquid64/golang-asm","['BSD-3-Clause']","['Bruce Ellis', 'Daniel Marti', 'Lucent Technologies Inc.', 'Lucent Technologies Inc. and others', 'Portions', 'Portions C H Forsyth (forsyth@terzarima.net)', 'Portions The Go Authors', 'Portions Vita Nuova Holdings Limited (www.vitanuova.com)', 'Portions Vita Nuova Limited', 'The Go Authors']"
"github.com/ugorji/go/codec","https://github.com/ugorji/go/tree/master/codec","['MIT']","['Ugorji Nwoke']"
"github.com/yusufpapurcu/wmi","https://github.com/yusufpapurcu/wmi","['MIT']","['Stack Exchange']"
"glob","glob","['ISC']","['Isaac Z. Schlueter and Contributors']"
"glob-parent","glob-parent","['ISC']","['Blaine Bublitz <blaine.bublitz@gmail.com>', 'Elan Shanker', 'Eric Schoffstall <yo@contra.io> and other contributors']"
"globals","globals","['MIT']","['Sindre Sorhus (https://sindresorhus.com)', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"go.opentelemetry.io/auto/sdk","https://go.opentelemetry.io/auto/sdk","['Apache-2.0']","['The OpenTelemetry Authors']"
"go.opentelemetry.io/collector/component","https://go.opentelemetry.io/collector/component","['Apache-2.0']","['The OpenTelemetry Authors']"
"go.opentelemetry.io/collector/featuregate","https://go.opentelemetry.io/collector/featuregate","['Apache-2.0']","['The OpenTelemetry Authors']"
"go.opentelemetry.io/collector/internal/telemetry","https://go.opentelemetry.io/collector/internal/telemetry","['Apache-2.0']","['The OpenTelemetry Authors']"
"go.opentelemetry.io/collector/pdata","https://go.opentelemetry.io/collector/pdata","['Apache-2.0']","['The OpenTelemetry Authors']"
"go.opentelemetry.io/collector/semconv","https://go.opentelemetry.io/collector/semconv","['Apache-2.0']","['The OpenTelemetry Authors']"
"go.opentelemetry.io/contrib/bridges/otelzap","https://go.opentelemetry.io/contrib/bridges/otelzap","['Apache-2.0']","['Inc.', 'The OpenTelemetry Authors', 'Uber Technologies']"
"go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp","go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp","['Apache-2.0']","[]"
"go.opentelemetry.io/otel","https://go.opentelemetry.io/otel","['Apache-2.0']","['The OpenTelemetry Authors']"
"go.opentelemetry.io/otel/log","https://go.opentelemetry.io/otel/log","['Apache-2.0']","['The Go Authors', 'The Go Authors. All rights reserved.', 'The OpenTelemetry Authors']"
"go.opentelemetry.io/otel/metric","https://go.opentelemetry.io/otel/metric","['Apache-2.0']","['The OpenTelemetry Authors']"
"go.opentelemetry.io/otel/sdk","https://go.opentelemetry.io/otel/sdk","['Apache-2.0']","['The OpenTelemetry Authors']"
"go.opentelemetry.io/otel/trace","https://go.opentelemetry.io/otel/trace","['Apache-2.0']","['The OpenTelemetry Authors']"
"go.uber.org/atomic","https://go.uber.org/atomic","['MIT']","['- .ToYear Uber Technologies', 'Inc.', 'Uber Technologies']"
"go.uber.org/multierr","https://go.uber.org/multierr","['MIT']","['Inc.', 'Uber Technologies']"
"go.uber.org/zap","https://go.uber.org/zap","['MIT']","['Inc.', 'Uber Technologies']"
"golang.org/x/arch","golang.org/x/arch","['BSD-3-Clause AND LicenseRef-scancode-google-patent-license-golang']","['C H Forsyth (forsyth@terzarima.net)', 'Intel Corporation', 'Lucent Technologies Inc. Power PC', 'Lucent Technologies Inc. and others', 'Portions The Go Authors', 'Portions Vita Nuova Holdings Limited (www.vitanuova.com)', 'Portions Vita Nuova Limited', 'The Go Authors']"
"golang.org/x/crypto","https://golang.org/x/crypto","['BSD-3-Clause AND LicenseRef-scancode-google-patent-license-golang']","['The Go Authors']"
"golang.org/x/exp","https://golang.org/x/exp","['BSD-3-Clause AND LicenseRef-scancode-google-patent-license-golang']","['The Go Authors']"
